YEAR,Location,Death Rate,Deaths,URL
2018,District of Columbia,19.4,144,/nchs/state-stats/states/dc.html
2018,FL,6.6,1315,/nchs/state-stats/states/fl.html
2018,GA,7.7,794,/nchs/state-stats/states/ga.html
2018,HI,3.1,40,/nchs/state-stats/states/hi.html
2018,ID,2.3,41,/nchs/state-stats/states/id.html
2018,IL,8,994,/nchs/state-stats/states/il.html
2018,IN,7.4,473,/nchs/state-stats/states/in.html
2018,IA,2.7,81,/nchs/state-stats/states/ia.html
2018,KS,5.9,160,/nchs/state-stats/states/ks.html
2018,KY,6.1,258,/nchs/state-stats/states/ky.html
2018,LA,13.3,598,/nchs/state-stats/states/la.html
2018,ME,,19,/nchs/state-stats/states/me.html
2018,MD,9.3,541,/nchs/state-stats/states/md.html
2018,MA,2.3,158,/nchs/state-stats/states/ma.html
2018,MI,6.5,613,/nchs/state-stats/states/mi.html
2018,MN,2.3,122,/nchs/state-stats/states/mn.html
2018,MS,13.4,382,/nchs/state-stats/states/ms.html
2018,MO,11.4,658,/nchs/state-stats/states/mo.html
2018,MT,4.2,42,/nchs/state-stats/states/mt.html
2018,NE,1.9,35,/nchs/state-stats/states/ne.html
2018,NV,7.7,225,/nchs/state-stats/states/nv.html
2018,NH,1.8,21,/nchs/state-stats/states/nh.html
2018,NJ,3.7,311,/nchs/state-stats/states/nj.html
2018,NM,10.8,215,/nchs/state-stats/states/nm.html
2018,NY,3.2,611,/nchs/state-stats/states/ny.html
2018,NC,6.4,647,/nchs/state-stats/states/nc.html
2018,ND,2.5,20,/nchs/state-stats/states/nd.html
2018,OH,6.8,760,/nchs/state-stats/states/oh.html
2018,OK,7,265,/nchs/state-stats/states/ok.html
2018,OR,2.5,102,/nchs/state-stats/states/or.html
2018,PA,6.4,781,/nchs/state-stats/states/pa.html
2018,RI,0,16,/nchs/state-stats/states/ri.html
2018,SC,10.2,481,/nchs/state-stats/states/sc.html
2018,SD,3.9,32,/nchs/state-stats/states/sd.html
2018,TN,9.2,604,/nchs/state-stats/states/tn.html
2018,TX,5.4,1557,/nchs/state-stats/states/tx.html
2018,UT,2.2,67,/nchs/state-stats/states/ut.html
2018,VT,,14,/nchs/state-stats/states/vt.html
2018,VA,5.1,425,/nchs/state-stats/states/va.html
2018,WA,3.7,275,/nchs/state-stats/states/wa.html
2018,WV,5.8,97,/nchs/state-stats/states/wv.html
2018,WI,3.9,204,/nchs/state-stats/states/wi.html
2018,WY,4.1,22,/nchs/state-stats/states/wy.html
2017,AL,12.9,602,/nchs/state-stats/states/al.html
2017,AK,10.6,78,/nchs/state-stats/states/ak.html
2017,AZ,6.6,441,/nchs/state-stats/states/az.html
2017,AR,9.8,278,/nchs/state-stats/states/ar.html
2017,CA,5.1,2022,/nchs/state-stats/states/ca.html
2017,CO,4.6,261,/nchs/state-stats/states/co.html
2017,CT,3.2,109,/nchs/state-stats/states/ct.html
